INSTANCE_NAME,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Feature25,Feature26,Feature27,Feature28,Feature29,Feature30,Feature31,Feature32,Feature33,Feature34,Feature35,Feature36,Feature37,Feature38,Feature39,Feature40,Feature41,Feature42,Feature43,Feature44,Feature45,Feature46,Feature47,Feature48,Feature49,Feature50,Feature51,Feature52,Feature53,Feature54,Feature55,Feature56,Feature57,Feature58,Feature59,Feature60,Feature61,Feature62,Feature63,Feature64,Feature65,Feature66,Feature67,Feature68,Feature69,Feature70,Feature71,Feature72,Feature73,Feature74,Feature75,Feature76,Feature77,Feature78,Feature79,Feature80,Feature81,Feature82,Feature83,Feature84,Feature85,Feature86,Feature87,Feature88,Feature89,Feature90,Feature91,Feature92,Feature93,Feature94,Feature95,Feature96,Feature97,Feature98,Feature99,Feature100,Feature101,Feature102,Feature103,Feature104,Feature105,Feature106,Feature107,Feature108,Feature109,Feature110,Feature111,Feature112,Feature113,Feature114,Feature115,Feature116,Feature117,Feature118,Feature119,Feature120,Feature121,Feature122,Feature123,Feature124,Feature125
instances/Sat_Data/UBCSAT_INSTANCES/smallworlds/SWlin2006.10012.cnf, 1056, 8096, 880, 7040, 0.2, 0.15, 0.125, 1, 0, 1, 1, 0, 0.0034091, 0.88192, 0.0022727, 0.011364, 0.37677, 0, 0.875, 0.875, 0.0034091, 0.032029, 0.0028409, 0.0036932, 0.49718, 0.16684, 0.0055256, 0.15385, 0.2, 0.49718, 0.0019886, 0.027454, 0.0017045, 0.0021307, 0.49718, 0.875, 0.0076705, 0.035588, 0.00625, 0.0083807, 0.0040891, 1.1422, 0.0011364, 0.017756, 1.6114, 0.11012, 0.44972, 0.015873, 0.22222, 1.3024, 10.3413, 0.1152, 9, 13, 1.465, 2088.2222, 0.23487, 1435, 3104, 3104, 1435, 2402, 1757, 1977, 16.3508, 0.068392, 15.2985, 18.7191, 18.7191, 15.2985, 16.3882, 15.3561, 16.202, 0.68235, 0.0092898, 0.66579, 0.71715, 0.68322, 0.68088, 0.68279, 0.68161, 0.68228, 0.0099269, 0.1587, 0.0066732, 0.020951, 0.010022, 0.0096502, 0.009926, 0.0097274, 0.0098104, 0, 0, 0.30227, 0.65568, 0.65568, 0.1, 2, 0, 0.5, 0.8, 28.5835, 0.13467, 293.318, 0.047663, 293, 276, 311, 2.8884, 0.21181, 0.98941, 0.003194, 29.9838, 1.4455, 292.603, 0.06506, 293, 274, 311, 1.5229, 0.46619, 0.99349, 0.10796, 0.5402, 0.75786
instances/Sat_Data/UBCSAT_INSTANCES/smallworlds/SWlin2006.10014.cnf, 1866, 14306, 1555, 12440, 0.2, 0.15, 0.125, 1, 0, 1, 1, 0, 0.0019293, 0.88192, 0.0012862, 0.0064309, 0.37677, 0, 0.875, 0.875, 0.0019293, 0.033414, 0.0017685, 0.0022508, 0.5426, 0.16685, 0.0055795, 0.14286, 0.18182, 0.5426, 0.0011254, 0.02864, 0.001045, 0.0012862, 0.5426, 0.875, 0.0043408, 0.037126, 0.0039389, 0.0051447, 0.0023143, 1.1423, 0.00072347, 0.01045, 1.6643, 0.11012, 0.44982, 0.015267, 0.2, 1.3128, 15.0869, 0.1435, 11, 20, 2.1219, 3081.4, 0.073443, 2793, 3432, 3432, 2793, 3233, 2929, 3020, 18.4952, 0.089416, 15.6841, 20.7136, 20.7136, 15.6841, 19.2836, 18.0728, 18.7217, 0.68236, 0.0095216, 0.65215, 0.69998, 0.68332, 0.68099, 0.68282, 0.68171, 0.68228, 0.0099305, 0.15279, 0.0046622, 0.014484, 0.010028, 0.0096486, 0.0099222, 0.0097296, 0.0098131, 0, 0, 0.16785, 0.23601, 0.23601, 0.1, 2, 0, 0.5, 0.8, 53.3173, 1.1555, 514.524, 0.071001, 517, 492, 541, 2.5499, 0.24556, 0.99096, 0.036251, 49.1336, 0.091075, 516.519, 0.037071, 516, 491, 540, 1.1139, 0.40405, 0.98861, 0.0021419, 0.48326, 0.71043
instances/Sat_Data/UBCSAT_INSTANCES/smallworlds/SWlin2006.10026.cnf, 924, 7084, 770, 6160, 0.2, 0.15, 0.125, 1, 0, 1, 1, 0, 0.0038961, 0.88192, 0.0025974, 0.012987, 0.37677, 0, 0.875, 0.875, 0.0038961, 0.034241, 0.0032468, 0.0042208, 0.54672, 0.16687, 0.0059067, 0.15385, 0.2, 0.54672, 0.0022727, 0.029349, 0.0019481, 0.0024351, 0.54672, 0.875, 0.0087662, 0.038045, 0.0071429, 0.0095779, 0.0046741, 1.1423, 0.0012987, 0.020292, 1.6661, 0.11012, 0.45005, 0.015873, 0.22222, 1.3438, 10.4954, 0.12948, 8, 13, 1.6105, 3672, 0, 3672, 3672, 3672, 3672, 3672, 3672, 3672, 19.2386, 0, 19.2386, 19.2386, 19.2386, 19.2386, 19.2386, 19.2386, 19.2386, 0.68237, 0.0098113, 0.66503, 0.71583, 0.6834, 0.6808, 0.68281, 0.68177, 0.68245, 0.0099458, 0.1723, 0.0066188, 0.021367, 0.010141, 0.0096434, 0.0099123, 0.0097281, 0.0098042, 0, 0, 0.61039, 0.71558, 0.71558, 0.1, 2, 0, 0.5, 0.8, 27.089, 1.7155, 256.479, 0.062379, 256, 240, 274, 3.041, 0.22804, 0.98859, 0.034923, 24.9806, 0.13023, 256.361, 0.063363, 257, 240, 273, 1.7203, 0.4488, 0.98942, 0.0034808, 0.55718, 0.74779
instances/Sat_Data/UBCSAT_INSTANCES/smallworlds/SWlin2006.10031.cnf, 2454, 18814, 2045, 16360, 0.2, 0.15, 0.125, 1, 0, 1, 1, 0, 0.001467, 0.88192, 0.00097799, 0.00489, 0.37677, 0, 0.875, 0.875, 0.001467, 0.034964, 0.0012225, 0.0017115, 0.5278, 0.16687, 0.0059482, 0.14286, 0.2, 0.5278, 0.00085575, 0.029969, 0.0007335, 0.00097799, 0.5278, 0.875, 0.0033007, 0.038849, 0.0026895, 0.003912, 0.00176, 1.1424, 0.000489, 0.0082518, 1.6536, 0.11012, 0.45011, 0.014706, 0.22222, 1.3253, 13.1624, 0.11909, 10, 17, 1.7955, 2076.5, 0.33166, 1343, 3115, 3115, 1343, 2863, 1473, 1815, 16.5873, 0.12474, 14.0999, 20.5086, 20.5086, 14.0999, 18.8072, 15.183, 16.1377, 0.68238, 0.0099854, 0.65172, 0.71694, 0.68338, 0.68091, 0.68277, 0.68171, 0.68227, 0.0099467, 0.1703, 0.0045912, 0.02132, 0.01005, 0.0096437, 0.0099161, 0.0097305, 0.0098129, 0, 0, 0.16675, 0.2, 0.2, 0.1, 2, 0, 0.5, 0.8, 76.9012, 2.4761, 676.919, 0.083876, 682, 651, 708, 2.4021, 0.2974, 1.0008, 0.16664, 62.9586, 0.079045, 680.533, 0.031852, 681, 652, 709, 0.95827, 0.34434, 0.98832, 0.0018845, 0.45861, 0.66609
instances/Sat_Data/UBCSAT_INSTANCES/smallworlds/SWlin2006.1007.cnf, 966, 7406, 805, 6440, 0.2, 0.15, 0.125, 1, 0, 1, 1, 0, 0.0037267, 0.88192, 0.0024845, 0.012422, 0.37677, 0, 0.875, 0.875, 0.0037267, 0.032174, 0.0034161, 0.0040373, 0.52442, 0.16684, 0.0054158, 0.15385, 0.18182, 0.52442, 0.0021739, 0.027578, 0.0020186, 0.0023292, 0.52442, 0.875, 0.0083851, 0.035749, 0.0076087, 0.0091615, 0.0044701, 1.1422, 0.0013975, 0.01941, 1.6273, 0.11012, 0.44967, 0.015873, 0.2, 1.2913, 9.9378, 0.10804, 8, 12, 1.4444, 2189.625, 0.29996, 1590, 3415, 3415, 1590, 3186, 1875, 1922, 16.706, 0.12192, 14.4522, 20.231, 20.231, 14.4522, 19.8928, 15.5208, 16.2451, 0.68235, 0.0093941, 0.66567, 0.70054, 0.68328, 0.68044, 0.68279, 0.6819, 0.68221, 0.0099214, 0.14763, 0.006671, 0.014594, 0.010119, 0.0096492, 0.0098527, 0.0097295, 0.0098137, 0, 0, 0.66335, 0.96273, 0.96273, 0.1, 2, 0, 0.5, 0.8, 27.129, 1.1506, 268.569, 0.061621, 268, 251, 286, 3.0145, 0.22935, 0.99261, 0.082304, 25.2569, 0.12641, 268.129, 0.052734, 268, 251, 286, 1.6479, 0.40514, 0.98915, 0.0029901, 0.54569, 0.77239
instances/Sat_Data/UBCSAT_INSTANCES/smallworlds/SWlin2006.10070.cnf, 2046, 15686, 1705, 13640, 0.2, 0.15, 0.125, 1, 0, 1, 1, 0, 0.0017595, 0.88192, 0.001173, 0.0058651, 0.37677, 0, 0.875, 0.875, 0.0017595, 0.03191, 0.0016129, 0.0020528, 0.49322, 0.16683, 0.0052857, 0.14286, 0.18182, 0.49322, 0.0010264, 0.027351, 0.00095308, 0.001173, 0.49322, 0.875, 0.0039589, 0.035456, 0.0035924, 0.0046921, 0.0021105, 1.1423, 0.00065982, 0.0095308, 1.6065, 0.11012, 0.44959, 0.015267, 0.2, 1.2754, 12.6866, 0.12117, 9, 16, 1.821, 1366.7333, 0.40746, 911, 3130, 2175, 943, 1451, 1055, 1172, 14.5419, 0.10318, 13.2898, 19.8754, 15.2717, 13.5092, 14.4976, 13.8664, 14.1147, 0.68235, 0.0090358, 0.65174, 0.70001, 0.68335, 0.68096, 0.68276, 0.68176, 0.68224, 0.0099194, 0.14429, 0.0045796, 0.014604, 0.010021, 0.0096485, 0.0099111, 0.0097319, 0.009814, 0, 0, 0.083871, 0.97126, 0.97126, 0.1, 2, 0, 0.5, 0.8, 52.5042, 0.11263, 564.891, 0.034553, 566, 540, 590, 2.4927, 0.20717, 0.98857, 0.0026225, 52.4306, 0.096755, 564.264, 0.036743, 566, 538, 587, 1.0986, 0.44084, 0.98841, 0.0023157, 0.48115, 0.68264
instances/Sat_Data/UBCSAT_INSTANCES/smallworlds/SWlin2006.10071.cnf, 1236, 9476, 1030, 8240, 0.2, 0.15, 0.125, 1, 0, 1, 1, 0, 0.0029126, 0.88192, 0.0019417, 0.0097087, 0.37677, 0, 0.875, 0.875, 0.0029126, 0.031801, 0.0026699, 0.0031553, 0.516, 0.16684, 0.0053531, 0.15385, 0.18182, 0.516, 0.001699, 0.027258, 0.0015777, 0.0018204, 0.516, 0.875, 0.0065534, 0.035335, 0.0059466, 0.0071602, 0.0034935, 1.1422, 0.0010922, 0.01517, 1.6225, 0.11012, 0.44962, 0.015873, 0.2, 1.2955, 10.999, 0.11155, 9, 13, 1.5561, 2051.4444, 0.31231, 1207, 3351, 3351, 1207, 2470, 1592, 1791, 16.218, 0.073458, 14.7765, 18.2997, 18.2997, 14.7765, 17.4065, 15.2456, 15.8482, 0.68235, 0.0091839, 0.66476, 0.70027, 0.68324, 0.68094, 0.68275, 0.68172, 0.68227, 0.0099195, 0.14687, 0.0066712, 0.01448, 0.010024, 0.0096518, 0.0099125, 0.0097327, 0.0098135, 0, 0, 0.086408, 0.83398, 0.83398, 0.1, 2, 0, 0.5, 0.8, 32.6316, 0.1298, 343.579, 0.045025, 344, 324, 362, 2.8037, 0.21113, 0.98903, 0.0031458, 32.9264, 0.1432, 343.032, 0.066742, 345, 323, 363, 1.4909, 0.42404, 0.98935, 0.0043092, 0.52663, 0.7817
instances/Sat_Data/UBCSAT_INSTANCES/smallworlds/SWlin2006.10075.cnf, 2184, 16744, 1820, 14560, 0.2, 0.15, 0.125, 1, 0, 1, 1, 0, 0.0016484, 0.88192, 0.0010989, 0.0054945, 0.37677, 0, 0.875, 0.875, 0.0016484, 0.032686, 0.001511, 0.0017857, 0.53596, 0.16685, 0.0055019, 0.15385, 0.18182, 0.53596, 0.00096154, 0.028017, 0.00089286, 0.0010302, 0.53596, 0.875, 0.0037088, 0.036318, 0.0033654, 0.0040522, 0.0019772, 1.1423, 0.00061813, 0.0085852, 1.6518, 0.11012, 0.44974, 0.015873, 0.2, 1.2953, 12.613, 0.10826, 9, 16, 1.7077, 1814.1111, 0.4535, 1101, 3357, 3357, 1101, 2164, 1233, 1343, 15.8772, 0.13762, 13.9531, 20.414, 20.414, 13.9531, 17.7227, 14.2708, 14.7421, 0.68236, 0.0094391, 0.66565, 0.70044, 0.6835, 0.68083, 0.68278, 0.68161, 0.6822, 0.009926, 0.15048, 0.0066216, 0.014452, 0.010025, 0.0095871, 0.0099262, 0.00973, 0.0098166, 0, 0, 0.098901, 0.52692, 0.52692, 0.1, 2, 0, 0.5, 0.8, 55.4106, 0.11554, 607.087, 0.030101, 607, 582, 630, 2.43, 0.21972, 0.98834, 0.0024893, 55.0812, 0.091059, 607.442, 0.032599, 607, 582, 632, 1.0087, 0.41451, 0.98819, 0.0022182, 0.47274, 0.67088
instances/Sat_Data/UBCSAT_INSTANCES/smallworlds/SWlin2006.10077.cnf, 1800, 13800, 1500, 12000, 0.2, 0.15, 0.125, 1, 0, 1, 1, 0, 0.002, 0.88192, 0.0013333, 0.0066667, 0.37677, 0, 0.875, 0.875, 0.002, 0.031914, 0.0018333, 0.0021667, 0.51854, 0.16684, 0.0053721, 0.15385, 0.18182, 0.51854, 0.0011667, 0.027355, 0.0010833, 0.00125, 0.51854, 0.875, 0.0045, 0.03546, 0.0040833, 0.0049167, 0.0023989, 1.1422, 0.00075, 0.010417, 1.6357, 0.11012, 0.44964, 0.015873, 0.2, 1.2965, 12.4129, 0.11959, 9, 15, 1.777, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.68235, 0.0091806, 0.66569, 0.70051, 0.6834, 0.68093, 0.68273, 0.68172, 0.68226, 0.0099215, 0.14799, 0.0066138, 0.014587, 0.0101, 0.0096455, 0.0099133, 0.0097328, 0.0098137, 0, 0, 0.11, 0.11, 0.11, 0.1, 2, 0, 0.5, 0.8, 47.1637, 0.11211, 499.292, 0.038291, 500, 474, 522, 2.5507, 0.20718, 0.9888, 0.0026001, 46.9686, 0.095494, 500.259, 0.037789, 499, 476, 524, 1.1305, 0.39433, 0.98855, 0.0023037, 0.48389, 0.70376
instances/Sat_Data/UBCSAT_INSTANCES/smallworlds/SWlin2006.10088.cnf, 2622, 20102, 2185, 17480, 0.2, 0.15, 0.125, 1, 0, 1, 1, 0, 0.001373, 0.88192, 0.00091533, 0.0045767, 0.37677, 0, 0.875, 0.875, 0.001373, 0.033352, 0.0011442, 0.0017162, 0.50935, 0.16685, 0.0055513, 0.13333, 0.2, 0.50935, 0.00080092, 0.028588, 0.0006865, 0.00097254, 0.50935, 0.875, 0.0030892, 0.037058, 0.0025172, 0.0039474, 0.001647, 1.1424, 0.00045767, 0.0077231, 1.6413, 0.11012, 0.44981, 0.014706, 0.22222, 1.3125, 16.897, 0.12947, 11, 21, 2.1417, 1923.3333, 0.4209, 927, 3391, 3391, 927, 2281, 1418, 1596, 16.3981, 0.19842, 13.4097, 23.6747, 23.6747, 13.4097, 17.4016, 14.4073, 14.934, 0.68236, 0.0093214, 0.63852, 0.71644, 0.68339, 0.68092, 0.68276, 0.68169, 0.68224, 0.0099329, 0.15557, 0.0032058, 0.021129, 0.010107, 0.0096489, 0.0099148, 0.0097309, 0.0098135, 0, 0, 0.14325, 0.73959, 0.73959, 0.1, 2, 0, 0.5, 0.8, 66.0921, 0.11034, 726.776, 0.031673, 727.5, 700, 755, 2.3133, 0.20295, 0.98805, 0.0024642, 66.2245, 0.078339, 725.626, 0.031409, 725, 694, 754, 0.88938, 0.3652, 0.98815, 0.0018755, 0.4562, 0.65503
